Localidade;Rede;IDEB 2015;IDEB 2017;IDEB 2019;IDEB 2021;Meta - 2015;Meta - 2017;Meta - 2019;Meta - 2021;Anos;Cod
Borborema;Pública;6,1;6,4;6,5;6,1;6,7;6,9;7,1;7,3;1º ao 5º ano;3507407
Borebi;Municipal;6,5;5,7;5,5;5,4;5,5;5,8;6,0;6,3;1º ao 5º ano;3507456
Borebi;Pública;6,5;5,7;5,5;5,4;5,5;5,8;6,0;6,3;1º ao 5º ano;3507456
Botucatu;Estadual;;;;;6,1;6,3;6,6;6,8;1º ao 5º ano;3507506
Botucatu;Municipal;6,4;6,6;6,6;6,3;6,1;6,3;6,5;6,8;1º ao 5º ano;3507506
Botucatu;Pública;6,4;6,6;6,6;6,3;6,1;6,3;6,5;6,8;1º ao 5º ano;3507506
Bragança Paulista;Estadual;;;;;6,2;6,5;6,7;6,9;1º ao 5º ano;3507605
Bragança Paulista;Municipal;5,8;6,4;6,3;6,3;5,1;5,3;5,6;5,9;1º ao 5º ano;3507605
Bragança Paulista;Pública;5,8;6,4;6,3;6,3;5,9;6,1;6,4;6,6;1º ao 5º ano;3507605
Braúna;Estadual;;;;;;;;;1º ao 5º ano;3507704
Braúna;Municipal;6,1;6,5;6,7;6,0;5,8;6,1;6,3;6,6;1º ao 5º ano;3507704
Braúna;Pública;6,1;6,5;6,7;6,1;5,8;6,1;6,3;6,6;1º ao 5º ano;3507704
Brejo Alegre;Municipal;6,6;7,3;7,3;6,3;6,2;6,5;6,7;6,9;1º ao 5º ano;3507753
Brejo Alegre;Pública;6,6;7,3;7,3;6,3;6,2;6,5;6,7;6,9;1º ao 5º ano;3507753
Brodowski;Municipal;6,1;6,6;6,1;6,2;6,1;6,4;6,6;6,8;1º ao 5º ano;3507803
Brodowski;Pública;6,1;6,6;6,1;6,2;6,1;6,4;6,6;6,8;1º ao 5º ano;3507803
Brotas;Municipal;6,6;6,3;6,3;5,7;6,1;6,4;6,6;6,8;1º ao 5º ano;3507902
Brotas;Pública;6,6;6,3;6,3;5,7;6,1;6,4;6,6;6,8;1º ao 5º ano;3507902
Buri;Municipal;6,1;6,2;6,4;5,9;5,7;5,9;6,2;6,4;1º ao 5º ano;3508009
Buri;Pública;6,1;6,2;6,4;5,9;5,7;5,9;6,2;6,4;1º ao 5º ano;3508009
Buritama;Municipal;7,3;6,7;6,7;6,3;5,8;6,1;6,3;6,6;1º ao 5º ano;3508108
Buritama;Pública;7,3;6,7;6,7;6,3;5,8;6,1;6,3;6,6;1º ao 5º ano;3508108
Buritizal;Municipal;5,9;6,1;;7,0;5,9;6,1;6,4;6,6;1º ao 5º ano;3508207
Buritizal;Pública;5,9;6,1;;7,0;5,9;6,1;6,4;6,6;1º ao 5º ano;3508207
Cabrália Paulista;Municipal;5,9;6,9;6,7;5,6;5,9;6,2;6,4;6,6;1º ao 5º ano;3508306
Cabrália Paulista;Pública;5,9;6,9;6,7;5,6;5,9;6,2;6,4;6,6;1º ao 5º ano;3508306
Cabreúva;Estadual;;;;;6,8;7,0;7,2;7,4;1º ao 5º ano;3508405
Cabreúva;Municipal;6,2;6,5;6,3;6,5;5,9;6,1;6,4;6,6;1º ao 5º ano;3508405
Cabreúva;Pública;6,2;6,5;6,3;6,5;6,4;6,7;6,9;7,1;1º ao 5º ano;3508405
Caçapava;Estadual;;;;;6,1;6,3;6,6;6,8;1º ao 5º ano;3508504
Caçapava;Municipal;6,2;6,2;6,1;5,6;5,6;5,8;6,1;6,3;1º ao 5º ano;3508504
Caçapava;Pública;6,2;6,2;6,1;5,6;5,9;6,2;6,4;6,6;1º ao 5º ano;3508504
